flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_wait,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,M,0,0,W,0,4,0,[1],8,0.05,0,4,"(100,)",20,0,4,4,12,16
Flight02,H,0,0,N,0,4,0,[1],17,0.05,0,4,"(200,)",40,0,4,4,21,25
Flight03,H,0,0,N,0,4,0,[1],6,0.05,0,4,"(200,)",40,0,4,4,10,14
Flight04,M,0,0,N,0,4,0,[1],5,0.05,0,4,"(100,)",20,0,4,4,9,13
Flight05,M,0,0,N,0,4,0,[1],20,0.05,0,4,"(100,)",20,0,4,4,24,28
Flight06,H,0,0,N,0,4,0,[1],20,0.05,0,4,"(200,)",40,0,4,4,24,28
Flight07,M,0,0,N,0,4,0,[1],6,0.05,0,4,"(100,)",20,0,4,4,10,14
Flight08,M,0,0,N,0,4,0,[1],8,0.05,0,4,"(100,)",20,0,4,4,12,16
Flight09,M,0,0,N,0,4,0,[1],22,0.05,0,4,"(100,)",20,0,4,4,26,30
Flight10,M,0,0,W,0,4,0,[1],15,0.05,0,4,"(100,)",20,0,4,4,19,23
Flight11,M,0,0,N,0,4,0,[1],4,0.05,0,4,"(100,)",20,0,4,4,8,12
Flight12,H,0,0,N,0,4,0,[1],5,0.05,0,4,"(200,)",40,0,4,4,9,13
Flight13,M,0,0,N,0,4,0,[1],17,0.05,0,4,"(100,)",20,0,4,4,21,25
Flight14,M,0,0,W,0,4,0,[1],10,0.05,0,4,"(100,)",20,0,4,4,14,18
Flight15,M,0,0,N,0,4,0,[1],19,0.05,0,4,"(100,)",20,0,4,4,23,27
Flight16,M,0,0,N,0,4,0,[1],7,0.05,0,4,"(100,)",20,0,4,4,11,15
Flight17,M,0,0,W,0,4,0,[1],18,0.05,0,4,"(100,)",20,0,4,4,22,26
Flight18,M,0,0,N,0,4,0,[1],19,0.05,0,4,"(100,)",20,0,4,4,23,27
Flight19,H,0,0,E,0,4,0,[1],18,0.05,0,4,"(200,)",40,0,4,4,22,26
Flight20,M,0,0,S,0,4,0,[1],5,0.05,0,4,"(100,)",20,0,4,4,9,13
Flight21,H,0,0,N,0,4,0,[1],10,0.05,0,4,"(200,)",40,0,4,4,14,18
Flight22,M,0,0,N,0,4,0,[1],4,0.05,0,4,"(100,)",20,0,4,4,8,12
Flight23,M,0,0,S,0,4,0,[1],20,0.05,0,4,"(100,)",20,0,4,4,24,28
Flight24,M,0,0,N,0,4,0,[1],20,0.05,0,4,"(100,)",20,0,4,4,24,28
Flight25,M,0,0,E,0,4,0,[1],14,0.05,0,4,"(100,)",20,0,4,4,18,22
Flight26,M,0,0,N,0,4,0,[1],10,0.05,0,4,"(100,)",20,0,4,4,14,18
Flight27,H,0,0,N,0,4,0,[1],13,0.05,0,4,"(200,)",40,0,4,4,17,21
Flight28,M,0,0,E,0,4,0,[1],16,0.05,0,4,"(100,)",20,0,4,4,20,24
Flight29,M,0,0,W,0,4,0,[1],6,0.05,0,4,"(100,)",20,0,4,4,10,14
Flight30,H,0,0,S,0,4,0,[1],15,0.05,0,4,"(200,)",40,0,4,4,19,23
