flight_id,aircraft_cat,SOBT,TOBT,SID,expected_AOBT_noise,expected_EXOT,expected_EXOT_noise,deice_service_need,deice_expected_ADIT,deice_expected_ADIT_sigma,deice_expected_ADIT_mu,deice_expected_wait,buffer_EXOT,buffer_EXOT_prob,exp_taxi_from_deice,wait_cost_per_min,delay_cost_per_min,TSAT,expected_ERZT,expected_ECZT,expected_AEZT,expected_ETOT
Flight01,H,0,0,W,0,10,0,[0],0,0.0,0.0,0,0,0.85,0,"(200,)",40,0,10,10,10,10
Flight02,M,0,0,N,0,10,0,[1],8,0.5,1.9544415416798357,0,0,0.85,4,"(100,)",20,0,10,10,18,22
Flight03,M,0,0,E,0,10,0,[1],10,0.5,2.177585092994046,0,0,0.85,4,"(100,)",20,0,10,10,20,24
Flight04,M,0,0,N,0,10,0,[0],0,0.0,0.0,0,0,0.85,0,"(100,)",20,0,10,10,10,10
Flight05,M,5,5,E,0,10,0,[0],0,0.0,0.0,0,0,0.85,0,"(100,)",20,5,15,15,15,15
Flight06,M,5,5,N,0,10,0,[0],0,0.0,0.0,0,0,0.85,0,"(100,)",20,5,15,15,15,15
Flight07,M,10,10,E,0,10,0,[0],0,0.0,0.0,0,0,0.85,0,"(100,)",20,10,20,20,20,20
Flight08,M,10,10,N,0,10,0,[1],7,0.5,1.8209101490553132,0,0,0.85,4,"(100,)",20,10,20,20,27,31
Flight09,H,15,15,E,0,10,0,[1],4,0.5,1.2612943611198906,0,0,0.85,4,"(200,)",40,15,25,25,29,33
Flight10,M,15,15,W,0,10,0,[1],10,0.5,2.177585092994046,0,0,0.85,4,"(100,)",20,15,25,25,35,39
Flight11,H,15,15,E,0,10,0,[0],0,0.0,0.0,0,0,0.85,0,"(200,)",40,15,25,25,25,25
Flight12,M,15,15,N,0,10,0,[0],0,0.0,0.0,0,0,0.85,0,"(100,)",20,15,25,25,25,25
Flight13,M,15,15,N,0,10,0,[1],7,0.5,1.8209101490553132,0,0,0.85,4,"(100,)",20,15,25,25,32,36
Flight14,M,15,15,W,0,10,0,[1],8,0.5,1.9544415416798357,0,0,0.85,4,"(100,)",20,15,25,25,33,37
Flight15,M,15,15,N,0,10,0,[1],5,0.5,1.4844379124341003,0,0,0.85,4,"(100,)",20,15,25,25,30,34
